i  j  rcb      Mcb      Etotcb 
 4  10  6.542  10.000  -535914215790546112267023742209622016.000 
 4  11  6.540  10.000  -529762172552274167789113765743558656.000 
 4  12  6.539  10.000  -523548171608888310977659534646968320.000 
 4  13  6.537  10.000  -517273871594155597896031211396005888.000 
 4  14  6.535  10.000  -510941012687535284539112158503370752.000 
 4  15  6.532  10.000  -504551396917694995737201700994285568.000 
 4  16  6.530  10.000  -498106886174735036550471464601518080.000 
 4  17  6.526  10.000  -491609389678546577852979928258052096.000 
 4  18  6.523  10.000  -485060317341576645697406321012244480.000 
 4  19  6.519  10.000  -478461373400288744037734947970088960.000 
 4  20  6.515  10.000  -471814536025441674479950212133552128.000 
 4  21  6.511  10.000  -465121761107563804648901369328041984.000 
 4  22  6.506  10.000  -458385152635673981948264573225140224.000 
 4  23  6.501  10.000  -451606860635315667614589920208748544.000 
 4  24  6.496  10.000  -444789105925499471213897741965983744.000 
 4  25  6.491  10.000  -437934199575246787370126142584389632.000 
 4  26  6.485  10.000  -431044519943976255299906932383416320.000 
 4  27  6.478  10.000  -424122506564092072765906885585928192.000 
 4  28  6.472  10.000  -417170703932804603810195130848116736.000 
 4  29  6.465  10.000  -410191700497794345513692404750745600.000 
 4  30  6.458  10.000  -403187984172416771312062043418263552.000 
 4  31  6.451  10.000  -396160048779926314094062691434889216.000 
 4  32  6.443  10.000  -389109892370158120231219666660360192.000 
 4  33  6.435  10.000  -382040267850133910255037811376783360.000 
 4  34  6.427  10.000  -374953965833083561687754089525411840.000 
 4  35  6.418  10.000  -367853888082102999392679408848338944.000 
 4  36  6.410  10.000  -360742996091244794020360474069041152.000 
 4  37  6.400  10.000  -353624318036836016982499133749198848.000 
 4  38  6.391  10.000  -346500345349962927345509246003314688.000 
 4  39  6.381  10.000  -339370643175170735561387076204101632.000 
 4  40  6.372  10.000  -332238092218644820314629417587441664.000 
 4  41  6.361  10.000  -325105805259333210434695806551326720.000 
 4  42  6.351  10.000  -317977063312150536670648146088427520.000 
 4  43  6.340  10.000  -310855169204298141746552651850448896.000 
 4  44  6.329  10.000  -303743429704843810327348504436932608.000 
 4  45  6.318  10.000  -296640326564429983587554051682729984.000 
 4  46  6.306  10.000  -289548906660569503041249600969113600.000 
 4  47  6.294  10.000  -282472628274056811691395909236555776.000 
 4  48  6.282  10.000  -275415019900468071231711108803854336.000 
 4  49  6.270  10.000  -268379542511587647062685022626512896.000 
 5  0  7.606  10.000  -899223235844958196444881616937943040.000 
 5  1  7.620  10.000  -892890641438925169850741780006305792.000 
 5  2  7.635  10.000  -886411477150678367658029113564725248.000 
 5  3  7.650  10.000  -879787594097543075278854658759589888.000 
 5  4  7.664  10.000  -873014483976421546106918318188265472.000 
 5  5  7.678  10.000  -866088362512993471256103979646451712.000 
 5  6  7.691  10.000  -859006137448632146283021506487255040.000 
 5  7  7.704  10.000  -851768159528584214828989436370354176.000 
 5  8  7.717  10.000  -844382878653785586046225085072670720.000 
 5  9  7.730  10.000  -836847927691167824478394217433923584.000 
 5  10  7.742  10.000  -829160995461695219881291218998525952.000 
 5  11  7.754  10.000  -821320232423577717586717134731345920.000 
 5  12  7.765  10.000  -813324375685865836208792247998611456.000 
 5  13  7.776  10.000  -805172942452642869540768876280676352.000 
 5  14  7.787  10.000  -796871677972551476321306615144775680.000 
 5  15  7.798  10.000  -788421737215891715363420067671834624.000 
 5  16  7.808  10.000  -779822331573101921698814823376093184.000 
 5  17  7.818  10.000  -771073024616678066943648397745192960.000 
 5  18  7.828  10.000  -762173777287810092712634204580478976.000 
 5  19  7.837  10.000  -753124967553996533490449102472740864.000 
 5  20  7.846  10.000  -743927179565217450737986894903115776.000 
 5  21  7.854  10.000  -734581462874654195614980111335424000.000 
 5  22  7.862  10.000  -725091604766282437243070178685616128.000 
 5  23  7.870  10.000  -715459557297620551694482297063473152.000 
 5  24  7.878  10.000  -705686222775491109996160329287991296.000 
 5  25  7.885  10.000  -695772772747442783917847298244083712.000 
 5  26  7.891  10.000  -685720602382674517509590469505449984.000 
 5  27  7.898  10.000  -675531341812535363781774349304856576.000 
 5  28  7.904  10.000  -665206818005708791668275398345490432.000 
 5  29  7.909  10.000  -654749044224613964218112739758833664.000 
 5  30  7.914  10.000  -644160067169344861982756149582102528.000 
 5  31  7.919  10.000  -633442638881937224281301064624373760.000 
 5  32  7.923  10.000  -622598829756839029414159303395246080.000 
 5  33  7.927  10.000  -611631399055951867047314481339170816.000 
 5  34  7.931  10.000  -600543104152402214631801332414021632.000 
 5  35  7.934  10.000  -589336678317096481110744160643579904.000 
 5  36  7.937  10.000  -578015127128133490638229114808434688.000 
 5  37  7.940  10.000  -566581652640631986684216623824371712.000 
 5  38  7.942  10.000  -555039309786579134477310048285491200.000 
 5  39  7.943  10.000  -543391278427615772127796666682048512.000 
 5  40  7.945  10.000  -531640845783404400035351291299364864.000 
 5  41  7.946  10.000  -519791417386280980536480599535255552.000 
 5  42  7.946  10.000  -507846545317253109554835681915699200.000 
 5  43  7.946  10.000  -495809822210480844611667773706207232.000 
 5  44  7.946  10.000  -483684969492099341273802792272658432.000 
 5  45  7.945  10.000  -471475893627847005563879387777990656.000 
 5  46  7.944  10.000  -459186438541264007034405394579456000.000 
 5  47  7.943  10.000  -446820664777065163492936791661477888.000 
 5  48  7.941  10.000  -434382683486047250891753530740178944.000 
 5  49  7.938  10.000  -421876693066701470241765218911780864.000 
 6  0  8.796  10.000  -1318633355766862620659886683550908416.000 
 6  1  8.831  10.000  -1311824732199865982076565811372228608.000 
 6  2  8.864  10.000  -1304777574059624649415076623637544960.000 
 6  3  8.898  10.000  -1297454335745892092783203742619009024.000 
 6  4  8.932  10.000  -1289883011878554840583803695009890304.000 
 6  5  8.965  10.000  -1282046087036008170016941528137596928.000 
 6  6  8.998  10.000  -1273921174146581530161197851141472256.000 
 6  7  9.031  10.000  -1265536280248351655711428384844152832.000 
 6  8  9.064  10.000  -1256862877096601112721471254072131584.000 
 6  9  9.097  10.000  -1247893963168201758325480511315640320.000 
 6  10  9.130  10.001  -1238647482833919829955811639822385152.000 
 6  11  9.162  10.001  -1229093415765764631613702003792805888.000 
 6  12  9.194  10.001  -1219236035601243988850750489098190848.000 
 6  13  9.226  10.001  -1209082610719737897199361326919450624.000 
 6  14  9.258  10.001  -1198606129081883346109212843000725504.000 
 6  15  9.289  10.001  -1187814942957987450345734475157078016.000 
 6  16  9.321  10.001  -1176711519012386317163586484185333760.000 
 6  17  9.352  10.001  -1165272269314010363762784721564598272.000 
 6  18  9.383  10.001  -1153503782775482282300882248609562624.000 
 6  19  9.414  10.001  -1141409407266864792587888880282238976.000 
 6  20  9.444  10.001  -1128968867547884573827554877770825728.000 
 6  21  9.474  10.001  -1116182363231508333014283475283345408.000 
 6  22  9.504  10.001  -1103058455981019072014735408294264832.000 
 6  23  9.534  10.001  -1089580033810852375214427103628886016.000 
 6  24  9.563  10.001  -1075739672747090954032474588740321280.000 
 6  25  9.592  10.001  -1061550232089176238432276752845766656.000 
 6  26  9.621  10.001  -1046999542931806005921589082919534592.000 
 6  27  9.649  10.001  -1032075796736022093537077594666565632.000 
 6  28  9.677  10.001  -1016787913000923668867975109375164416.000 
 6  29  9.705  10.001  -1001133494837918521733798184815165440.000 
 6  30  9.733  10.001  -985102070023925774844752645138153472.000 
 6  31  9.760  10.001  -968689138910509254987995338795646976.000 
 6  32  9.787  10.001  -951903336772601548754702506118873088.000 
 6  33  9.813  10.001  -934738401745526443490197281072742400.000 
 6  34  9.839  10.001  -917187641425728829171697098300588032.000 
 6  35  9.865  10.001  -899248519692932672352590480661282816.000 
 6  36  9.890  10.001  -880928361345569500043213728053723136.000 
 6  37  9.915  10.001  -862222573201920570962619333636784128.000 
 6  38  9.940  10.001  -843127514584692284895596543486197760.000 
 6  39  9.964  10.001  -823638493830158476408436860332802048.000 
 6  40  9.988  10.001  -803763524672153234607438988578914304.000 
 6  41  10.012  10.001  -783501637021316796600231179992432640.000 
 6  42  10.035  10.001  -762851531407882882392987142520307712.000 
 6  43  10.057  10.001  -741808803361973320951804265886646272.000 
 6  44  10.079  10.001  -720375443357881898893358493020979200.000 
 6  45  10.101  10.001  -698558333804773923220773582577598464.000 
 6  46  10.123  10.001  -676358138082270955812134668591955968.000 
 6  47  10.143  10.001  -653776563070230133959969737105473536.000 
 6  48  10.164  10.001  -630806214536143970981867370508713984.000 
 6  49  10.184  10.001  -607453291925482116925472093799186432.000 
 7  0  10.108  10.001  -1888654682300037467029160982101360640.000 
